BZ,Material F08 Metal surface 4,7823.99999999999
CA,Material F08 Metal surface 5,500.0
CB,Material F08 Metal surface 6,0.9
CC,Material F08 Metal surface 7,0.7
CD,Material F08 Metal surface 8,0.7
CE,Material G01 13mm gypsum board 2,0.0127
CF,Material G01 13mm gypsum board 3,0.16
CG,Material G01 13mm gypsum board 4,800.0
CH,Material G01 13mm gypsum board 5,1090.0
CI,Material G01 13mm gypsum board 6,0.9
CJ,Material G01 13mm gypsum board 7,0.7
CK,Material G01 13mm gypsum board 8,0.5
CL,Material G05 25mm wood 2,0.0254
CM,Material G05 25mm wood 3,0.15
CN,Material G05 25mm wood 4,608.0
CO,Material G05 25mm wood 5,1630.0
CP,Material G05 25mm wood 6,0.9
CQ,Material G05 25mm wood 7,0.5
CR,Material G05 25mm wood 8,0.5
CS,Material M10 200mm concrete block basement wall 2,0.2032
CT,Material M10 200mm concrete block basement wall 3,1.326
CU,Material M10 200mm concrete block basement wall 4,1842.0
CV,Material M10 200mm concrete block basement wall 5,912.0
CW,Material M10 200mm concrete block basement wall 6,0.9
CX,Material M10 200mm concrete block basement wall 7,0.7
CY,Material M10 200mm concrete block basement wall 8,0.7
CZ,Material Std Wood 6inch 2,0.15
DA,Material Std Wood 6inch 3,0.12
DB,Material Std Wood 6inch 4,540.0
DC,Material Std Wood 6inch 5,1210.0
DD,Material Std Wood 6inch 6,0.9
DE,Material Std Wood 6inch 7,0.7
DF,Material Std Wood 6inch 8,0.7
DG,Material:NoMass CP02 CARPET PAD 2,0.21648
DH,Material:NoMass CP02 CARPET PAD 3,0.9
DI,Material:NoMass CP02 CARPET PAD 4,0.7
DJ,Material:NoMass CP02 CARPET PAD 5,0.8
DK,Material:NoMass Nonres_Floor_Insulation 2,2.88291975297193
DL,Material:NoMass Nonres_Floor_Insulation 3,0.9
DM,Material:NoMass Nonres_Floor_Insulation 4,0.7
DN,Material:NoMass Nonres_Floor_Insulation 5,0.7
DO,Material:NoMass Typical Carpet Pad 2,0.216479986995276
DP,Material:NoMass Typical Carpet Pad 3,0.9
DQ,Material:NoMass Typical Carpet Pad 4,0.7
DR,Material:NoMass Typical Carpet Pad 5,0.8
DS,Material:NoMass Typical Insulation 2,0.0282222222222221
DT,Material:NoMass Typical Insulation 3,0.9
DU,Material:NoMass Typical Insulation 4,0.7
DV,Material:NoMass Typical Insulation 5,0.7
DW,Material:NoMass Typical Insulation R-0.54 2,0.0945032650887796
DX,Material:NoMass Typical Insulation R-0.54 3,0.9
DY,Material:NoMass Typical Insulation R-0.54 4,0.7
DZ,Material:NoMass Typical Insulation R-0.54 5,0.7
EA,Material:NoMass Typical Insulation R-0.58 2,0.101874652714525
