Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint,FieldName
WindowMaterial:Glazing,REF B CLEAR HI 6MM,3,0.00599999999999998,0.004199999999999986,0.0077999999999999745,uniform,float,,,Thickness
WindowMaterial:Glazing,REF B CLEAR HI 6MM,4,0.24,0.16799999999999998,0.312,uniform,float,,,Solar Transmittance at Normal Incidence
WindowMaterial:Glazing,REF B CLEAR HI 6MM,5,0.16,0.11199999999999999,0.20800000000000002,uniform,float,,,Front Side Solar Reflectance at Normal Incidence
WindowMaterial:Glazing,REF B CLEAR HI 6MM,6,0.32,0.22399999999999998,0.41600000000000004,uniform,float,,,Back Side Solar Reflectance at Normal Incidence
WindowMaterial:Glazing,REF B CLEAR HI 6MM,7,0.3,0.21,0.39,uniform,float,,,Visible Transmittance at Normal Incidence
WindowMaterial:Glazing,REF B CLEAR HI 6MM,8,0.16,0.11199999999999999,0.20800000000000002,uniform,float,,,Front Side Visible Reflectance at Normal Incidence
WindowMaterial:Glazing,REF B CLEAR HI 6MM,9,0.29,0.20299999999999999,0.377,uniform,float,,,Back Side Visible Reflectance at Normal Incidence
WindowMaterial:Glazing,REF B CLEAR HI 6MM,11,0.84,0.588,0.99999,uniform,float,,,Front Side Infrared Hemispherical Emissivity
WindowMaterial:Glazing,REF B CLEAR HI 6MM,12,0.6,0.42,0.78,uniform,float,,,Back Side Infrared Hemispherical Emissivity
WindowMaterial:Glazing,REF B CLEAR HI 6MM,13,0.9,0.63,1.1700000000000002,uniform,float,,,Conductivity
WindowMaterial:Glazing,REF B CLEAR HI 6MM,14,1.0,0.7,1,uniform,float,,,Dirt Correction Factor for Solar and Visible Transmittance
ZoneInfiltration:DesignFlowRate,Dining Infiltration,6,0.00102523210129173,0.000717662470904211,0.001332801731679249,uniform,float,,,Flow per Exterior Surface Area
ZoneInfiltration:DesignFlowRate,Dining door Infiltration,4,0.614474994,0.4301324958,0.7988174922000001,uniform,float,,,Design Flow Rate
ZoneInfiltration:DesignFlowRate,Kitchen Infiltration,6,0.00102523210129173,0.000717662470904211,0.001332801731679249,uniform,float,,,Flow per Exterior Surface Area
ZoneInfiltration:DesignFlowRate,Space Infiltration Design Flow Rate 2,4,0.2378,0.16646,0.30914,uniform,float,,,Design Flow Rate
